DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2017,9.5,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2018,9.3,e
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2019,9.1,bep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2020,8.9,p
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2021,9.0,bep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2010,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2011,10.1,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2012,10.0,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2013,9.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2014,9.8,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2015,9.7,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2016,9.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2017,9.5,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2018,9.3,e
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2019,9.1,bep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2020,8.9,p
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA19,2021,9.0,bep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2010,11.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2011,11.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2012,10.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2013,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2014,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2015,10.6,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2016,10.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2017,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2018,10.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2019,10.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2020,9.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EE,2021,10.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2010,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2011,9.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2012,9.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2013,8.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2014,8.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2015,8.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2016,8.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2017,8.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2018,8.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2019,7.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2020,7.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EL,2021,8.0,ep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2010,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2011,10.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2012,9.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2013,9.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2014,9.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2015,9.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2016,8.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2017,8.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2018,7.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2019,7.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2020,7.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,ES,2021,7.1,p
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2010,10.4,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2011,10.1,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2012,10.0,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2013,9.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2014,9.8,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2015,9.7,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2016,9.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2017,9.7,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2018,9.5,e
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2019,9.3,bep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2020,9.1,ep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU27_2020,2021,9.1,bep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2010,10.7,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2011,10.5,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2012,10.4,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2013,10.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2014,10.1,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2015,10.0,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2016,10.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2017,9.9,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2018,9.7,e
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EU28,2019,9.5,bep
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2010,11.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2011,11.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2012,11.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2013,10.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2014,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2015,10.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2016,9.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2017,9.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2018,8.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2019,8.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2020,8.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FI,2021,9.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2010,12.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2011,12.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2012,12.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2013,12.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2014,12.4,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2015,12.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2016,11.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2017,11.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,FR,2018,11.3,
