DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2006,17785,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2007,18650,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2008,19207,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2009,19578,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2010,20630,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2011,21033,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2012,21100,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2013,21489,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2014,21610,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2015,22341,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2016,22608,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2017,23546,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2018,24213,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2019,24757,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2020,25022,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,DK,2021,25698,
